colony,street,street_number,postal_code,zone,directions,lat,lon
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,"LISBOA 28, U H FOVISSSTE ESTADI, Guadalajara",20.7108869,-103.3308462
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,"ROGELIO BACON 2280, INDEPENDENCIA, Guadalajara",20.7036221,-103.3334825
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,"PRIV OPALO 17, BOSQUES D LA CANTERA, Guadalajara",20.7155989,-103.3157318
JARDINES DE LOS POET,JOSE FERNANDEZ,3365,44820,Guadalajara,"JOSE FERNANDEZ 3365, JARDINES DE LOS POET, Guadalajara",20.6484961,-103.29001645
LOMAS DEL GALLO,FERNANDO SOLIS,1338,44760,Guadalajara,"FERNANDO SOLIS 1338, LOMAS DEL GALLO, Guadalajara",20.67890219,-103.27083555
BATALLON SN PATRICIO,CALZADA INDEPEN,503,44300,Guadalajara,"CALZADA INDEPEN 503, BATALLON SN PATRICIO, Guadalajara",20.7137381,-103.32089456
TETLAN,GIGANTES,108,44820,Guadalajara,"GIGANTES 108, TETLAN, Guadalajara",20.65951835,-103.2736384
MODERNA,AV ESPANA,1092,44190,Guadalajara,"AV ESPANA 1092, MODERNA, Guadalajara",20.659424,-103.3531261
RINCONADA DE HUENTITAN,JUAN CARRASCO,5234,44250,Guadalajara,"JUAN CARRASCO 5234, RINCONADA DE HUENTITAN, Guadalajara",20.7334639,-103.3219648
GENERAL REAL,MARCONI,17,44400,Guadalajara,"MARCONI 17, GENERAL REAL, Guadalajara",20.6682228,-103.3242311
MARAVILLA,HACIENDA DE GUA,1124,44700,Guadalajara,"HACIENDA DE GUA 1124, MARAVILLA, Guadalajara",20.7016579,-103.306797
BARRIO ANALCO,ABASOLO,147,44450,Guadalajara,"ABASOLO 147, BARRIO ANALCO, Guadalajara",20.6696438,-103.3353768
BEATRIZ HERNANDEZ,MARGARITA GUTIE,3497,44760,Guadalajara,"MARGARITA GUTIE 3497, BEATRIZ HERNANDEZ, Guadalajara",20.6814079,-103.284874
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,"GOMEZ FARIAS 2319, SAN ANDRES, Guadalajara",20.66197709,-103.30791285
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,"AVENIDA MEXICO 2582, LADRON DE GUEVARA, Guadalajara",20.679539,-103.3821471
OBLATOS PONIENTE,HACIENDA DE LAS,2299,44700,Guadalajara,"HACIENDA DE LAS 2299, OBLATOS PONIENTE, Guadalajara",20.6942949,-103.2973538
LOMAS DEL PARADERO,LUIS QUINTANAR,746,44840,Guadalajara,"LUIS QUINTANAR 746, LOMAS DEL PARADERO, Guadalajara",20.650031,-103.3199848
LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,"PEDRO LANDAZURI 733, LA PERLA, Guadalajara",20.682905,-103.33238
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,"MEXICALLTZINGO 1944, AMERICANA, Guadalajara",20.668444,-103.3673828
HERMOSA PROVIN ZO TE,ARQUIMIDES,630,44770,Guadalajara,"ARQUIMIDES 630, HERMOSA PROVIN ZO TE, Guadalajara",20.6711219,-103.2859288
BLANCO Y CUELLAR,EMILIO RABAZA,2132,44730,Guadalajara,"EMILIO RABAZA 2132, BLANCO Y CUELLAR, Guadalajara",20.67964,-103.3047158
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,"PEDRO CELESTINO 482, PENAL, Guadalajara",20.678154,-103.319812
GARIBAY,DAMASCO,785,44750,Guadalajara,"DAMASCO 785, GARIBAY, Guadalajara",20.6735769,-103.2949879
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,"HACIENDA DEL CA 2275, BALCONES DE OBLATOS, Guadalajara",20.68696384,-103.28869462
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,"CIRCUNVALACION 258, HOGARES GUADALAJARA, Guadalajara",20.690509,-103.328187
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,"CELIA PACHECO 3713, HELIODORO HERNANDEZ, Guadalajara",20.696344,-103.2789
OBLATOS,AV JUAN PABLO L,3165,44700,Guadalajara,"AV JUAN PABLO L 3165, OBLATOS, Guadalajara",20.6982095,-103.295162
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,"ASTURIAS 1581, SANTA ELENA, Guadalajara",20.7145639,-103.337542
OBREROS D L CONSTRUC,ABEDUL,274,44900,Guadalajara,"ABEDUL 274, OBREROS D L CONSTRUC, Guadalajara",20.6545689,-103.3645921
SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,"SAN MATEO 1407, SANTA MARIA, Guadalajara",20.6879689,-103.3157451
EL MANANTIAL S REFOR,AVDE LA PATRIA,202,44470,Guadalajara,"AVDE LA PATRIA 202, EL MANANTIAL S REFOR, Guadalajara",20.621289,-103.342166
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,"JUAN PABLO II 3165, OBLATOS PONIENTE, Guadalajara",20.70162171,-103.28662543
PANORAMICA HUENTITAN,CALZADA,4500,44259,Guadalajara,"CALZADA 4500, PANORAMICA HUENTITAN, Guadalajara",20.736203,-103.312081
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,"VOLCAN MAIPO 340, HUENTITAN EL BAJO, Guadalajara",20.7417459,-103.3154301
MORELOS,PELICANO,1272,44910,Guadalajara,"PELICANO 1272, MORELOS, Guadalajara",20.6506979,-103.360933
LAGOS D OTE ZONA TET,LICURGO,336,44770,Guadalajara,"LICURGO 336, LAGOS D OTE ZONA TET, Guadalajara",20.665926,-103.288257
JARDINES DE LA CRUZ,ISLA ASENCION,3108,44950,Guadalajara,"ISLA ASENCION 3108, JARDINES DE LA CRUZ, Guadalajara",20.637455,-103.380993
SANTA TERESITA,ALFREDO CHAVERO,16,44600,Guadalajara,"ALFREDO CHAVERO 16, SANTA TERESITA, Guadalajara",20.683706,-103.368627
MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,"HERMENEGILDO BU 4308, MIRAVALLE II, Guadalajara",20.6127044,-103.3450677
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,"FRANCISCO SARAB 235, PROGRESO, Guadalajara",20.6687989,-103.3080091
ARANDAS,HACIENDA LA ERR,1877,44720,Guadalajara,"HACIENDA LA ERR 1877, ARANDAS, Guadalajara",20.68584251,-103.2726593
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,"CANUTO ELIAS 3414, VALENTIN GOMEZ FARIA, Guadalajara",20.6190587,-103.3629314
EL CENTRO,JUAREZ,400,44100,Guadalajara,"JUAREZ 400, EL CENTRO, Guadalajara",20.6751683,-103.348691
ARTESANOS,INDEPENDENCIA,919,44200,Guadalajara,"INDEPENDENCIA 919, ARTESANOS, Guadalajara",20.678064,-103.356838
MARAVILLA,MESA DEL NORTE,1272,44700,Guadalajara,"MESA DEL NORTE 1272, MARAVILLA, Guadalajara",20.6996615,-103.3042162
POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,"MIGUEL MACIAS 3653, POLANQUITO, Guadalajara",20.618594,-103.37202
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,"PEDRO PATINO 643, MIRAVALLE II, Guadalajara",20.6069021,-103.3496879
GUADALUPANA,CELEDONIO PADIL,2162,44220,Guadalajara,"CELEDONIO PADIL 2162, GUADALUPANA, Guadalajara",20.7099819,-103.355384
RANCHO NUEVO,DOMINGO RAMIRE,1150,44240,Guadalajara,"DOMINGO RAMIRE 1150, RANCHO NUEVO, Guadalajara",20.7208786,-103.3313266
EL MIRADOR,EMILIANO ZAPATA,780,44370,Guadalajara,"EMILIANO ZAPATA 780, EL MIRADOR, Guadalajara",20.684788,-103.3233951
JARDINES DE LA CRUZ,ISLA MADAGASCAR,3111,44950,Guadalajara,"ISLA MADAGASCAR 3111, JARDINES DE LA CRUZ, Guadalajara",20.63864,-103.386237
LOMAS DEL PRADERO,AV PRESIDENTE,2235,44840,Guadalajara,"AV PRESIDENTE 2235, LOMAS DEL PRADERO, Guadalajara",20.648519,-103.3130901
18 DE MARZO,FAJA DE ORO,1783,44960,Guadalajara,"FAJA DE ORO 1783, 18 DE MARZO, Guadalajara",20.63485145,-103.37672045
LA AURORA,JARDINES DE BAB,20,44790,Guadalajara,"JARDINES DE BAB 20, LA AURORA, Guadalajara",20.66066767,-103.28141363
VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,"AV PATRIA 4177, VILLAS DE GADALUPE, Guadalajara",20.6849943,-103.2719253
BEATRIZ HERNANDEZ,GAZA,1333,44760,Guadalajara,"GAZA 1333, BEATRIZ HERNANDEZ, Guadalajara",20.681007,-103.2865761
